State,Number of CoCs,TotalHomeless2008,"Sheltered Homeless, 2008","Unsheltered Homeless, 2008","Homeless Individuals, 2008","Sheltered Homeless Individuals, 2008","Unsheltered Homeless Individuals, 2008","Homeless People in Families, 2008","Sheltered Homeless People in Families, 2008","Unsheltered Homeless People in Families, 2008","Chronically Homeless Individuals, 2008","Sheltered Chronically Homeless Individuals, 2008","Unsheltered Chronically Homeless Individuals, 2008","Homeless Veterans, 2008","Sheltered Homeless Veterans, 2008","Unsheltered Homeless Veterans, 2008"
AK,2,1646,1452,194,1067,912,155,579,540,39,439,355,84,218,189,29
AL,8,5387,3843,1544,4086,2803,1283,1301,1040,261,1052,579,473,801,677,124
AR,6,3255,2020,1235,2625,1617,1008,630,403,227,893,492,401,235,219,16
AZ,3,12488,6970,5518,8428,3376,5052,4060,3594,466,3097,1223,1874,736,736,0
CA,42,136531,46965,89566,109050,28505,80545,27481,18460,9021,40254,6206,34048,17276,5735,11541
CO,3,14747,6877,7870,6260,2984,3276,8487,3893,4594,1082,449,633,1608,915,693
CT,12,4627,4020,607,2773,2185,588,1854,1835,19,875,578,297,524,401,123
DC,1,6044,5666,378,4208,3830,378,1836,1836,0,2184,1840,344,667,641,26
DE,1,933,862,71,652,581,71,281,281,0,248,221,27,127,108,19
FL,28,50158,20724,29434,32959,12331,20628,17199,8393,8806,8578,2555,6023,5780,2691,3089
GA,7,19095,8865,10230,13728,5716,8012,5367,3149,2218,2671,1037,1634,3336,1921,1415
GU,1,725,103,622,254,53,201,471,50,421,50,39,11,3,3,0
HI,2,6061,2703,3358,3326,1091,2235,2735,1612,1123,778,132,646,223,223,0
IA,3,3346,3087,259,1609,1421,188,1737,1666,71,277,225,52,284,271,13
ID,2,1464,1250,214,817,657,160,647,593,54,46,11,35,131,78,53
IL,21,14724,11480,3244,8356,5697,2659,6368,5783,585,2557,1436,1121,1286,839,447
IN,3,7395,5923,1472,4937,3617,1320,2458,2306,152,696,249,447,535,455,80
KS,5,1738,1500,238,1080,897,183,658,603,55,177,132,45,313,295,18
KY,3,8137,6195,1942,4344,3247,1097,3793,2948,845,642,380,262,1046,944,102
LA,9,5481,3700,1781,2894,1905,989,2587,1795,792,613,177,436,432,305,127
MA,21,14506,13437,1069,7127,6223,904,7379,7214,165,2352,1830,522,1302,1262,40
MD,16,9219,6054,3165,4806,3335,1471,4413,2719,1694,1489,729,760,541,499,42
ME,3,2632,2588,44,1241,1201,40,1391,1387,4,132,123,9,89,89,0
MI,22,28248,11781,16467,17364,7014,10350,10884,4767,6117,2771,1084,1687,832,715,117
MN,11,7644,6270,1374,3388,2317,1071,4256,3953,303,1537,1052,485,595,477,118
MO,8,7687,5607,2080,4195,2784,1411,3492,2823,669,1226,903,323,377,312,65
MS,3,1961,1206,755,1697,948,749,264,258,6,877,417,460,197,194,3
MT,1,1417,1007,410,968,617,351,449,390,59,138,46,92,247,138,109
NC,13,12411,8025,4386,8749,5337,3412,3662,2688,974,1827,964,863,1096,724,372
ND,1,615,596,19,375,362,13,240,234,6,51,50,1,78,75,3
NE,7,3985,3227,758,2244,1824,420,1741,1403,338,707,627,80,144,123,21
NH,3,2019,1535,484,1172,785,387,847,750,97,437,297,140,208,115,93
NJ,20,13832,11860,1972,6848,5421,1427,6984,6439,545,1269,968,301,847,648,199
NM,2,3015,1748,1267,1861,1063,798,1154,685,469,711,245,466,163,163,0
NV,3,8726,4863,3863,6512,3658,2854,2214,1205,1009,954,224,730,1632,912,720
NY,29,61125,56516,4609,25771,21304,4467,35354,35212,142,5089,2071,3018,4234,4230,4
OH,9,12912,10377,2535,7865,6116,1749,5047,4261,786,2252,1673,579,1033,964,69
OK,8,3846,2803,1043,2674,1905,769,1172,898,274,561,331,230,354,299,55
OR,8,20653,9946,10707,11548,5260,6288,9105,4686,4419,3346,1502,1844,767,523,244
PA,17,15378,14079,1299,7734,6541,1193,7644,7538,106,1622,859,763,1101,971,130
PR,2,3012,810,2202,2668,663,2005,344,147,197,2917,1026,1891,157,65,92
RI,1,1196,1142,54,714,660,54,482,482,0,245,208,37,99,87,12
SC,5,5660,3086,2574,3809,2031,1778,1851,1055,796,743,398,345,475,350,125
SD,1,579,538,41,268,235,33,311,303,8,104,79,25,108,106,2
TN,10,9705,5660,4045,7242,3829,3413,2463,1831,632,3364,1438,1926,903,672,231
TX,18,40190,24080,16110,27950,14095,13855,12240,9985,2255,8844,3656,5188,5982,3428,2554
UT,3,3434,3178,256,2018,1762,256,1416,1416,0,702,446,256,218,199,19
VA,22,8469,6895,1574,4838,3541,1297,3631,3354,277,1678,967,711,898,710,188
VI,1,602,115,487,566,79,487,36,36,0,513,26,487,19,4,15
VT,2,954,696,258,627,401,226,327,295,32,234,115,119,32,19,13
WA,7,21954,15456,6498,12156,6831,5325,9798,8625,1173,3073,1974,1099,1330,1185,145
WI,4,5449,4934,515,2285,1975,310,3164,2959,205,687,480,207,481,464,17
WV,4,2016,1422,594,1435,993,442,581,429,152,387,264,123,104,98,6
WY,1,751,619,132,357,320,37,394,299,95,67,30,37,19,19,0
